Date,Commodity,District,Rainfall_Index_mm,Mandi_Arrival_Tonnes,Modal_Price
2025-06-16,Apple,Poonch,11.95,10.0,7519.72
2023-04-02,Wheat,Poonch,12.53,109.7,2067.66
2025-08-13,Wheat,Jammu,6.19,59.92,2245.07
2024-05-23,Maize,Rajouri,25.38,45.63,2076.23
2025-02-14,Apple,Udhampur,11.86,11.81,7551.68
2023-02-04,Paddy,Kathua,13.06,85.64,2097.47
2023-07-25,Mustard,Poonch,19.78,129.16,5450.12
2026-01-09,Paddy,Rajouri,3.2,144.07,1984.53
2025-10-22,Apple,Jammu,16.45,89.2,7517.67
2025-10-18,Wheat,Poonch,2.17,82.02,2181.1
2024-07-19,Wheat,Jammu,4.24,21.91,2253.11
2026-02-03,Apple,Kathua,4.09,86.84,7431.22
2024-12-03,Wheat,Udhampur,38.41,63.2,2312.59
2024-02-06,Wheat,Poonch,19.42,95.0,2204.07
2024-12-30,Wheat,Poonch,12.08,64.42,2167.9
2023-06-11,Mustard,Kathua,12.98,43.64,5636.6
2023-07-21,Mustard,Rajouri,8.26,23.3,5688.08
2025-09-22,Maize,Udhampur,29.39,54.09,2065.29
2023-09-27,Paddy,Poonch,6.86,23.53,2233.76
2025-03-26,Apple,Udhampur,4.79,34.77,7459.05
2024-03-31,Apple,Poonch,1.78,148.23,7243.4
2025-10-13,Apple,Udhampur,15.43,72.17,7486.01
2023-10-23,Maize,Jammu,13.26,84.46,1992.84
2024-12-20,Mustard,Poonch,4.85,132.31,5501.23
2023-12-04,Maize,Udhampur,0.26,149.38,1853.63
2025-05-28,Apple,Rajouri,18.26,91.58,7418.37
2025-12-12,Paddy,Jammu,0.11,123.75,2019.94
2025-03-02,Wheat,Jammu,12.16,55.77,2243.35
2023-08-05,Mustard,Rajouri,35.15,52.8,5593.48
2025-02-02,Mustard,Udhampur,5.76,66.38,5518.41
2023-07-07,Maize,Kathua,2.68,104.15,1984.17
2024-01-15,Mustard,Rajouri,12.2,105.51,5524.83
2024-05-07,Apple,Udhampur,16.99,54.13,7449.61
2025-11-30,Apple,Rajouri,7.91,28.65,7421.2
2026-03-26,Maize,Rajouri,34.12,98.54,2002.79
2023-01-15,Apple,Poonch,0.53,27.97,7368.76
2023-03-06,Paddy,Udhampur,7.03,90.99,2064.45
2024-06-04,Maize,Kathua,12.67,107.08,1942.99
2026-02-26,Paddy,Poonch,19.85,108.09,2040.89
2024-10-09,Wheat,Rajouri,1.98,115.49,2105.04
2025-12-22,Paddy,Rajouri,16.09,132.2,2052.57
2026-03-08,Wheat,Rajouri,8.05,79.99,2274.97
2024-08-15,Wheat,Udhampur,5.05,112.23,2054.78
2024-01-27,Paddy,Udhampur,1.41,96.68,2094.66
2024-02-23,Maize,Poonch,20.05,36.13,2143.75
2023-10-16,Apple,Kathua,1.71,13.6,7450.01
2024-01-14,Apple,Poonch,3.71,49.84,7446.26
2023-08-19,Wheat,Jammu,3.43,72.02,2157.35
2025-10-14,Wheat,Rajouri,20.51,96.39,2204.4
2023-02-10,Maize,Rajouri,11.17,128.99,2000.17
2025-11-17,Mustard,Rajouri,15.93,37.47,5672.02
2023-05-15,Paddy,Poonch,2.88,27.58,2173.73
2023-07-20,Wheat,Poonch,9.8,144.89,2069.66
2025-02-18,Apple,Rajouri,8.48,25.13,7422.66
2025-07-18,Maize,Poonch,17.89,76.99,2022.38
2025-11-22,Paddy,Udhampur,23.65,91.98,2175.01
2025-12-07,Maize,Udhampur,0.12,85.79,1892.98
2024-05-17,Paddy,Poonch,11.21,22.04,2138.33
2024-02-11,Paddy,Rajouri,0.53,17.98,2163.41
2025-03-15,Wheat,Poonch,7.96,24.77,2219.01
2023-04-09,Maize,Poonch,3.39,91.98,1927.21
2024-11-14,Maize,Poonch,3.66,86.21,1953.34
2024-12-26,Apple,Jammu,4.35,42.72,7388.39
2025-08-18,Apple,Udhampur,9.71,99.29,7338.3
2024-09-04,Wheat,Kathua,4.07,124.81,2132.46
2024-10-04,Wheat,Kathua,13.19,15.82,2234.65
2025-10-25,Mustard,Jammu,5.18,79.74,5475.06
2024-05-17,Apple,Poonch,0.71,106.5,7314.17
2025-02-05,Paddy,Jammu,15.31,45.32,2196.95
2024-02-02,Maize,Jammu,3.37,53.09,2012.29
2025-05-20,Wheat,Rajouri,5.67,95.91,2128.37
2025-03-05,Maize,Udhampur,11.57,135.71,1925.46
2024-01-28,Maize,Kathua,4.04,123.39,1839.29
2023-07-26,Mustard,Poonch,0.58,91.64,5536.66
2025-11-04,Apple,Kathua,4.68,112.23,7363.89
2025-06-10,Wheat,Kathua,28.9,61.08,2257.44
2025-05-13,Maize,Udhampur,10.26,99.74,2018.49
2025-01-12,Wheat,Kathua,11.13,75.27,2146.97
2024-07-17,Paddy,Kathua,10.0,36.59,2210.87
2025-10-17,Mustard,Jammu,2.22,108.24,5501.7
2023-04-06,Paddy,Udhampur,5.42,87.91,2053.33
2024-04-29,Wheat,Rajouri,13.9,60.21,2228.27
2023-08-19,Wheat,Poonch,1.07,137.59,2067.21
2025-01-18,Apple,Kathua,3.26,12.93,7545.95
2026-04-09,Maize,Poonch,3.23,54.21,1970.57
2024-06-24,Maize,Rajouri,5.66,17.96,2046.86
2025-11-25,Paddy,Poonch,39.31,117.31,2179.46
2024-06-08,Mustard,Rajouri,0.7,108.3,5462.99
2026-03-29,Maize,Jammu,7.31,56.39,2069.33
2026-01-14,Apple,Kathua,1.98,104.59,7425.93
2024-07-31,Paddy,Rajouri,35.29,65.43,2179.7
2024-11-12,Paddy,Poonch,1.2,115.88,2043.68
2024-07-10,Apple,Kathua,5.17,73.59,7354.24
2025-10-09,Mustard,Jammu,13.39,67.72,5625.23
2024-10-07,Apple,Kathua,12.19,140.86,7336.69
2025-03-06,Mustard,Rajouri,5.49,45.12,5621.17
2025-11-17,Apple,Jammu,4.25,26.86,7444.26
2023-07-09,Apple,Poonch,5.07,91.84,7303.72
2024-09-24,Wheat,Jammu,3.07,145.71,2088.91
2024-09-19,Paddy,Jammu,2.3,62.9,2003.16
2025-08-30,Apple,Udhampur,6.6,18.69,7478.8
2024-12-10,Apple,Jammu,3.13,57.5,7466.12
2024-10-10,Maize,Jammu,3.39,80.83,1988.24
2023-11-14,Paddy,Kathua,10.69,32.67,2255.88
2024-11-14,Maize,Poonch,34.59,102.13,2093.62
2024-10-25,Paddy,Kathua,9.25,149.68,1958.65
2026-02-10,Maize,Kathua,0.8,73.24,1983.93
2024-03-17,Apple,Rajouri,0.79,59.66,7410.91
2024-07-17,Apple,Kathua,30.25,66.1,7426.45
2026-02-10,Wheat,Udhampur,3.53,26.12,2204.8
2025-08-09,Maize,Udhampur,0.97,133.66,1867.38
2026-01-09,Mustard,Rajouri,9.14,68.08,5485.5
2024-11-29,Wheat,Poonch,9.77,64.22,2212.07
2023-04-23,Maize,Poonch,10.46,102.36,1958.72
2023-01-02,Maize,Kathua,3.11,71.88,1916.85
2024-10-03,Wheat,Kathua,0.15,100.75,2142.54
2023-08-08,Apple,Kathua,33.53,18.6,7611.61
2025-05-04,Maize,Poonch,2.89,123.92,1923.58
2024-01-20,Apple,Jammu,11.27,141.67,7308.98
2026-02-27,Wheat,Udhampur,12.26,100.83,2189.6
2025-12-12,Apple,Jammu,9.42,143.64,7345.29
2024-12-30,Paddy,Jammu,3.75,31.2,2162.03
2023-09-04,Mustard,Poonch,3.16,76.84,5507.74
2025-04-15,Maize,Jammu,9.1,94.25,1990.19
2023-07-22,Mustard,Rajouri,20.11,91.44,5630.99
2023-05-03,Apple,Kathua,29.32,66.2,7467.68
2024-02-05,Maize,Rajouri,1.12,57.33,2102.0
2025-02-05,Apple,Udhampur,1.68,27.76,7440.08
2023-10-21,Paddy,Kathua,28.96,64.84,2179.87
2023-10-07,Wheat,Jammu,13.34,32.77,2238.27
2025-06-02,Maize,Udhampur,21.46,112.81,1999.5
2023-07-17,Paddy,Kathua,2.26,39.24,2052.97
2025-09-08,Paddy,Jammu,8.86,18.2,2159.48
2025-01-21,Maize,Rajouri,12.08,87.33,1948.52
2023-05-24,Apple,Kathua,11.4,93.33,7402.58
2024-08-31,Paddy,Jammu,5.25,132.07,2046.45
2026-02-21,Mustard,Rajouri,0.16,90.78,5543.41
2023-07-06,Paddy,Udhampur,8.74,58.37,2016.69
2024-04-08,Apple,Udhampur,2.92,122.42,7417.61
2024-10-21,Apple,Udhampur,5.98,85.64,7403.96
2025-02-02,Mustard,Udhampur,31.6,21.1,5684.53
2025-08-12,Paddy,Poonch,5.09,89.22,2072.53
2024-02-07,Apple,Kathua,18.31,137.12,7360.84
2023-05-27,Maize,Kathua,2.09,65.48,1968.46
2026-03-17,Wheat,Poonch,11.16,51.49,2242.38
2025-05-13,Wheat,Jammu,37.73,30.09,2323.26
2024-05-03,Wheat,Jammu,1.07,31.2,2213.43
2025-07-17,Paddy,Udhampur,0.08,70.59,2046.49
2024-07-04,Mustard,Rajouri,5.68,93.4,5463.61
2023-12-04,Apple,Jammu,0.97,21.29,7477.73
2025-05-21,Maize,Rajouri,13.8,141.54,1948.19
2024-10-02,Maize,Kathua,24.6,115.72,2018.31
2024-04-17,Paddy,Rajouri,5.69,92.13,2099.91
2023-05-31,Wheat,Kathua,2.99,125.98,2110.19
2023-09-20,Paddy,Poonch,5.7,21.23,2145.42
2023-05-24,Mustard,Poonch,12.85,76.76,5613.76
2023-12-12,Mustard,Udhampur,0.09,98.21,5441.88
2024-09-15,Apple,Jammu,8.9,126.01,7298.93
2025-10-13,Apple,Udhampur,9.5,119.69,7307.48
2025-05-30,Mustard,Kathua,10.15,48.79,5657.9
2023-01-02,Mustard,Udhampur,2.77,141.72,5488.71
2025-06-15,Mustard,Rajouri,12.52,27.41,5670.88
2023-09-11,Paddy,Kathua,0.96,132.52,2035.53
2024-03-28,Mustard,Poonch,2.22,145.93,5398.64
2025-11-26,Maize,Jammu,20.99,34.8,2120.65
2026-03-29,Wheat,Kathua,13.42,111.09,2145.68
2025-10-11,Mustard,Kathua,0.14,15.64,5665.1
2023-01-09,Wheat,Rajouri,2.86,66.76,2178.83
2026-01-27,Paddy,Jammu,2.41,82.28,2049.97
2025-03-26,Wheat,Poonch,3.16,91.29,2172.52
2023-07-27,Paddy,Kathua,2.84,141.03,2019.97
2026-02-28,Maize,Kathua,0.65,104.12,1905.82
2024-02-08,Paddy,Rajouri,6.14,77.38,2083.83
2023-06-01,Paddy,Udhampur,13.2,123.35,1992.59
2023-02-23,Apple,Poonch,9.33,143.07,7202.84
2026-02-17,Mustard,Jammu,11.17,13.09,5675.13
2024-09-19,Mustard,Kathua,0.85,147.55,5458.8
2024-08-09,Maize,Kathua,30.26,22.06,2165.54
2023-04-14,Maize,Poonch,18.23,124.01,1874.59
2023-09-11,Mustard,Udhampur,16.35,49.25,5612.66
2026-02-09,Apple,Kathua,17.32,28.51,7412.83
2024-05-24,Mustard,Poonch,26.99,71.58,5690.63
2023-04-09,Apple,Rajouri,7.86,100.15,7326.05
2023-06-02,Maize,Udhampur,2.23,63.33,2058.63
2025-07-02,Wheat,Jammu,9.59,17.64,2321.79
2025-05-27,Maize,Kathua,13.58,93.92,1952.05
2023-12-04,Maize,Poonch,13.39,136.34,1877.36
2025-04-01,Paddy,Rajouri,7.37,63.65,2126.88
2026-04-01,Paddy,Jammu,0.71,40.29,2086.84
2025-08-14,Paddy,Poonch,4.64,71.96,2094.52
2023-06-10,Paddy,Poonch,25.35,16.77,2217.24
2025-03-11,Apple,Jammu,8.78,124.87,7260.64
2024-02-02,Mustard,Rajouri,7.73,125.69,5385.83
2025-03-26,Wheat,Rajouri,3.13,92.32,2156.74
2026-03-04,Maize,Udhampur,4.6,59.43,1990.3
2024-02-05,Apple,Kathua,22.57,121.97,7364.38
2024-10-01,Wheat,Jammu,10.98,87.66,2209.96
2025-11-22,Apple,Jammu,15.48,125.63,7413.9
2024-11-18,Apple,Jammu,6.06,98.4,7359.53
2024-04-04,Maize,Rajouri,9.95,119.82,1926.78
2025-08-12,Mustard,Kathua,2.86,93.8,5540.96
2024-04-14,Paddy,Udhampur,12.22,67.98,2059.07
2025-11-11,Mustard,Poonch,5.58,144.11,5461.73
2025-01-19,Maize,Poonch,5.84,85.76,2004.88
2023-02-07,Maize,Jammu,10.48,94.71,2012.08
2023-08-18,Maize,Kathua,27.53,40.87,2029.64
2024-07-16,Wheat,Rajouri,0.66,97.59,2096.47
2024-03-13,Mustard,Kathua,17.42,90.03,5531.18
2023-01-27,Mustard,Kathua,3.46,35.88,5611.75
2023-08-14,Apple,Rajouri,5.87,18.34,7512.91
2025-03-08,Apple,Jammu,0.22,94.61,7426.14
2023-10-11,Apple,Kathua,3.58,116.92,7313.8
2025-05-28,Maize,Poonch,6.98,83.28,1965.03
2025-08-17,Mustard,Rajouri,0.58,41.75,5640.97
2024-03-28,Maize,Udhampur,6.75,103.31,1969.98
2025-10-16,Wheat,Jammu,26.19,21.21,2384.04
2025-03-26,Apple,Rajouri,1.11,71.86,7408.75
2024-10-20,Maize,Udhampur,14.46,32.87,2034.9
2024-06-30,Maize,Udhampur,5.27,35.82,1993.14
2025-12-08,Wheat,Kathua,10.65,38.32,2181.78
2023-01-17,Paddy,Kathua,3.01,64.14,2126.21
2026-04-10,Mustard,Kathua,1.74,17.16,5683.31
2023-06-07,Paddy,Rajouri,1.75,65.69,2173.29
2024-04-21,Apple,Rajouri,0.73,81.64,7417.82
2025-12-05,Maize,Jammu,2.05,77.66,2032.4
2024-06-01,Wheat,Kathua,10.91,63.59,2188.43
2023-04-09,Wheat,Udhampur,21.34,127.48,2100.03
2025-11-26,Mustard,Poonch,16.83,30.35,5696.58
2023-10-07,Paddy,Jammu,11.56,80.8,2117.59
2024-05-11,Mustard,Rajouri,1.17,18.69,5630.54
2023-10-29,Maize,Jammu,3.41,19.96,2088.4
2023-06-30,Mustard,Jammu,3.71,90.34,5540.91
2024-08-29,Wheat,Jammu,2.88,89.24,2208.13
2026-01-27,Wheat,Jammu,7.24,132.92,2157.06
2024-11-30,Apple,Poonch,7.67,88.1,7416.88
2025-09-19,Apple,Kathua,4.41,144.37,7335.62
2026-02-13,Maize,Udhampur,4.37,16.82,2101.89
2023-07-10,Paddy,Jammu,17.63,23.72,2183.08
2023-09-10,Mustard,Jammu,15.57,16.17,5709.61
2025-09-07,Maize,Jammu,3.68,35.94,1985.11
2025-07-16,Apple,Kathua,24.51,85.78,7497.19
2026-03-30,Mustard,Rajouri,30.54,100.38,5543.4
2023-05-08,Apple,Rajouri,3.96,16.38,7500.96
2023-01-18,Mustard,Poonch,4.38,142.44,5412.32
2024-07-19,Paddy,Rajouri,7.04,127.9,2038.58
2024-07-23,Maize,Jammu,28.32,51.53,2101.8
2024-11-16,Mustard,Jammu,20.9,20.81,5613.9
2024-09-17,Wheat,Jammu,1.08,33.78,2246.72
2025-05-03,Wheat,Poonch,4.99,27.77,2223.31
2025-08-19,Mustard,Jammu,8.06,27.26,5674.55
2023-06-04,Mustard,Rajouri,6.99,82.6,5548.53
2024-05-04,Mustard,Kathua,2.16,44.42,5608.08
2025-02-23,Wheat,Kathua,19.58,60.14,2204.36
2026-02-01,Wheat,Udhampur,11.3,148.53,2061.85
2023-09-03,Mustard,Rajouri,18.2,105.8,5528.9
2026-04-14,Apple,Jammu,19.57,142.86,7386.89
2025-11-28,Apple,Kathua,13.8,29.96,7574.7
2025-01-28,Paddy,Rajouri,5.78,63.5,2070.01
2024-06-21,Maize,Kathua,9.43,87.66,2037.14
2025-07-09,Apple,Jammu,1.75,20.75,7376.84
2024-02-12,Wheat,Kathua,11.2,10.59,2241.22
2024-06-08,Apple,Udhampur,1.98,103.86,7307.4
2025-04-07,Paddy,Udhampur,11.84,99.85,2010.25
2025-06-21,Paddy,Kathua,2.61,67.51,2018.83
2023-02-05,Maize,Rajouri,1.25,78.55,1994.76
2024-11-15,Apple,Rajouri,1.81,68.16,7393.92
2023-01-20,Wheat,Rajouri,0.02,13.36,2272.1
2023-11-17,Wheat,Kathua,12.68,56.95,2261.22
2024-05-26,Mustard,Rajouri,13.18,34.79,5651.94
2024-02-04,Wheat,Jammu,7.23,23.78,2292.07
2024-10-15,Maize,Udhampur,1.76,143.94,1876.59
2025-08-29,Maize,Jammu,0.87,93.91,1898.5
2024-04-15,Wheat,Rajouri,0.19,112.01,2155.19
2026-03-12,Wheat,Jammu,1.81,54.15,2173.06
2026-01-20,Mustard,Rajouri,22.15,65.04,5581.22
2025-04-13,Wheat,Kathua,2.76,43.17,2211.07
2024-12-27,Mustard,Jammu,4.37,23.58,5587.54
2025-05-03,Mustard,Kathua,1.11,35.06,5582.18
2023-02-20,Wheat,Kathua,2.51,121.65,2116.04
2024-07-28,Paddy,Poonch,7.32,104.86,2064.81
2026-02-22,Paddy,Rajouri,9.36,86.57,2042.69
2023-05-30,Mustard,Udhampur,2.82,76.51,5522.31
2023-11-10,Wheat,Rajouri,0.59,139.14,2116.52
2024-07-23,Paddy,Udhampur,4.96,20.18,2190.94
2023-11-01,Wheat,Rajouri,2.67,49.28,2303.0
2024-11-12,Wheat,Kathua,2.48,58.99,2247.56
2025-04-17,Wheat,Jammu,32.15,119.54,2250.06
2025-12-13,Apple,Jammu,9.58,148.95,7244.78
2025-09-29,Wheat,Poonch,8.14,43.69,2269.89
2024-03-19,Apple,Udhampur,5.37,132.4,7316.19
2024-09-04,Mustard,Udhampur,5.6,126.29,5453.69
2025-09-19,Paddy,Udhampur,7.78,41.45,2153.28
2023-09-21,Paddy,Kathua,11.92,65.91,2164.81
2025-12-12,Paddy,Udhampur,12.11,67.35,2143.26
2025-09-30,Paddy,Jammu,1.88,146.95,1929.06
2023-01-05,Paddy,Kathua,6.93,35.32,2185.61
2026-01-31,Paddy,Rajouri,5.31,121.88,1988.48
2025-02-12,Paddy,Udhampur,20.44,56.79,2172.97
2025-05-26,Mustard,Udhampur,9.98,112.32,5499.81
2025-09-18,Wheat,Rajouri,7.6,68.8,2186.27
2025-06-02,Maize,Udhampur,1.23,90.97,1991.96
2023-02-16,Apple,Rajouri,9.3,126.57,7293.1
2025-05-16,Maize,Kathua,1.25,122.58,1997.66
2025-04-02,Maize,Jammu,4.11,131.3,1824.25
2025-07-24,Wheat,Rajouri,1.54,18.35,2225.51
2024-10-17,Wheat,Poonch,11.78,106.89,2169.02
2023-09-26,Wheat,Rajouri,2.31,29.6,2264.29
2024-01-05,Paddy,Udhampur,4.97,68.21,2092.07
2024-09-27,Mustard,Kathua,22.6,86.8,5589.54
2026-02-03,Paddy,Kathua,2.29,66.38,2109.23
2024-10-18,Mustard,Rajouri,7.09,82.75,5538.16
2023-04-30,Mustard,Jammu,5.43,149.51,5505.8
2025-04-10,Maize,Poonch,0.18,28.93,2084.95
2025-12-17,Maize,Kathua,15.74,104.56,2022.81
2025-01-10,Mustard,Udhampur,0.72,65.44,5510.67
2023-04-27,Mustard,Udhampur,6.43,28.62,5624.07
2025-03-01,Paddy,Jammu,8.23,32.22,2147.49
2026-02-24,Paddy,Kathua,9.9,142.9,1955.08
2025-10-09,Maize,Rajouri,11.67,133.14,1943.84
2025-12-17,Wheat,Udhampur,2.92,136.99,2054.66
2024-09-25,Mustard,Jammu,0.1,148.81,5456.6
2024-05-27,Paddy,Kathua,12.85,39.16,2117.22
2025-03-12,Maize,Kathua,7.67,59.76,2102.26
2026-01-24,Paddy,Kathua,18.09,103.69,2045.02
2026-02-15,Mustard,Kathua,17.23,77.73,5598.41
2024-07-13,Mustard,Kathua,18.54,68.57,5642.11
2024-05-02,Apple,Udhampur,6.64,60.09,7405.43
2025-06-15,Wheat,Jammu,4.06,93.13,2186.66
2024-12-04,Apple,Kathua,15.68,90.58,7358.99
2024-08-03,Maize,Poonch,6.0,32.6,2125.65
2025-02-28,Paddy,Poonch,2.03,76.04,2076.07
2025-05-10,Maize,Jammu,19.31,87.49,1993.72
2023-09-04,Mustard,Rajouri,21.42,89.84,5570.32
2026-01-04,Apple,Rajouri,6.28,39.42,7497.37
2023-06-03,Apple,Rajouri,0.79,113.92,7305.35
2025-09-23,Apple,Poonch,4.91,13.53,7461.7
2026-01-14,Maize,Rajouri,16.27,59.68,2042.57
2024-11-27,Mustard,Udhampur,23.2,119.23,5492.43
2025-12-28,Paddy,Kathua,2.27,88.95,2138.76
2025-12-06,Paddy,Poonch,0.69,46.56,2089.88
2025-10-05,Maize,Jammu,20.98,107.29,2033.62
2023-04-04,Apple,Jammu,4.93,89.43,7391.06
2025-08-15,Wheat,Kathua,7.8,121.47,2073.45
2025-10-08,Maize,Poonch,34.44,112.9,2030.59
2024-03-28,Maize,Rajouri,0.69,95.42,1984.36
2025-06-30,Mustard,Rajouri,10.45,78.34,5557.46
2023-08-06,Paddy,Udhampur,0.77,28.65,2196.18
2024-04-18,Maize,Udhampur,4.71,46.59,2081.16
2024-03-07,Maize,Rajouri,16.29,68.67,2080.47
2023-12-07,Apple,Jammu,5.68,93.9,7356.64
2024-07-04,Apple,Jammu,58.72,81.92,7516.43
2023-12-23,Wheat,Udhampur,8.19,50.35,2198.07
2023-01-23,Mustard,Kathua,3.87,10.91,5654.85
2024-06-05,Wheat,Rajouri,2.49,79.47,2188.32
2026-01-28,Apple,Udhampur,4.32,49.99,7341.12
2025-03-12,Paddy,Udhampur,4.66,112.85,2028.27
2025-01-31,Apple,Rajouri,0.71,13.35,7489.36
2024-03-17,Mustard,Rajouri,4.61,91.88,5514.44
2025-02-07,Apple,Jammu,6.24,141.81,7365.36
2025-10-12,Mustard,Kathua,12.83,34.42,5658.41
2024-05-30,Mustard,Kathua,10.69,76.03,5629.12
2025-11-05,Mustard,Rajouri,12.34,22.8,5645.57
2025-03-02,Mustard,Poonch,0.08,97.6,5546.04
2023-12-02,Mustard,Udhampur,2.45,87.07,5600.81
2023-09-15,Paddy,Udhampur,10.84,67.03,2176.17
2024-05-11,Wheat,Rajouri,6.62,82.99,2122.55
2025-06-14,Maize,Poonch,0.05,135.52,1875.46
2023-06-09,Wheat,Jammu,16.32,37.48,2255.47
2025-05-01,Mustard,Rajouri,14.82,13.16,5699.7
2024-11-20,Paddy,Rajouri,7.95,130.63,2043.38
2024-01-15,Apple,Udhampur,0.69,90.8,7328.26
2025-08-14,Paddy,Rajouri,14.55,134.69,2030.58
2024-11-21,Mustard,Rajouri,8.76,93.57,5446.78
2026-04-06,Paddy,Rajouri,15.23,123.42,2111.49
2025-12-02,Paddy,Udhampur,13.93,70.15,2099.29
2023-10-12,Mustard,Jammu,16.25,114.98,5532.04
2024-02-01,Paddy,Jammu,7.3,137.83,1985.68
2023-01-12,Maize,Rajouri,1.51,90.1,2011.25
2024-05-13,Maize,Udhampur,11.12,35.31,1944.93
2025-01-23,Paddy,Jammu,9.69,47.63,2141.82
2023-02-04,Apple,Jammu,13.56,37.81,7481.92
2024-12-27,Mustard,Jammu,1.86,44.56,5568.7
2025-04-28,Maize,Udhampur,2.17,52.9,2095.27
2023-03-31,Apple,Udhampur,22.11,87.72,7399.24
2025-02-14,Paddy,Rajouri,13.86,92.32,2123.6
2024-08-27,Apple,Kathua,23.88,69.71,7487.88
2025-08-27,Wheat,Jammu,14.22,96.16,2233.03
2025-10-18,Maize,Kathua,9.09,21.42,2056.93
2024-02-22,Paddy,Udhampur,10.62,22.29,2150.57
2023-04-25,Mustard,Udhampur,21.99,34.06,5718.6
2024-09-08,Paddy,Udhampur,8.65,82.53,2106.02
2025-04-05,Mustard,Kathua,10.01,39.96,5552.57
2026-01-03,Paddy,Udhampur,1.7,49.66,2089.68
2024-02-17,Apple,Rajouri,6.42,66.04,7438.87
2024-12-29,Apple,Udhampur,12.6,123.66,7392.53
2025-10-17,Apple,Poonch,3.16,11.94,7461.64
2025-01-30,Wheat,Kathua,2.26,100.91,1999.73
2024-11-06,Mustard,Poonch,3.77,103.64,5530.15
2024-04-01,Apple,Udhampur,2.76,121.81,7271.2
2025-07-08,Wheat,Rajouri,2.42,140.59,1981.08
2023-07-11,Mustard,Jammu,5.53,12.82,5521.01
2025-01-08,Paddy,Udhampur,23.84,31.53,2248.62
2026-01-27,Wheat,Rajouri,7.07,134.06,2102.32
2025-09-04,Maize,Kathua,2.08,74.19,1975.22
2025-10-05,Wheat,Poonch,0.8,89.04,2206.51
2023-04-06,Wheat,Poonch,11.91,102.82,2187.56
2024-10-24,Mustard,Poonch,4.83,105.07,5580.58
2023-02-06,Paddy,Kathua,17.25,140.44,1964.87
2023-10-06,Maize,Rajouri,10.77,149.57,1898.55
2023-08-05,Apple,Kathua,15.91,110.82,7311.93
2025-05-16,Apple,Poonch,3.17,50.21,7424.51
2025-05-22,Wheat,Udhampur,11.79,133.17,2101.79
2023-03-03,Mustard,Jammu,3.07,16.89,5662.69
2024-08-18,Mustard,Kathua,27.98,42.35,5678.06
2024-12-29,Apple,Kathua,10.12,135.63,7356.99
2024-02-01,Maize,Rajouri,3.92,45.87,2065.39
